0: [32316593415, 7960767773, 3157132456, 3103822835, 3071948557, 2394320746, 133399308, 70569558, 36656722, 30452835, 14650616, 14129576, 13919389, 12404835, 11844066, 4279565, 2304358, 2077427, 1892405, 1346213, 1220399, 423850, 327356, 285880, 2622, 1709, 1616, 959, 416, 362, 284, 228]
1: [8837071961, 2176919479, 863355021, 848776257, 840058409, 654759108, 36476302, 19295584, 10023829, 8325979, 4005281, 3863445, 3805935, 3391722, 3238405, 1169357, 628845, 567152, 516465, 367065, 332749, 115450, 89228, 78001, 668, 436, 403, 245, 110, 98, 73, 53]
2: [8854552291, 2181175470, 864998490, 850388935, 841655884, 655984690, 36544710, 19335666, 10044619, 8343610, 4014434, 3872448, 3814786, 3398742, 3244308, 1173140, 630706, 568950, 518023, 368483, 333693, 115970, 89524, 78290, 721, 454, 431, 261, 115, 99, 71, 52]
3: [8854551420, 2181246888, 865036230, 850429964, 841694968, 656023400, 36545354, 19332082, 10043753, 8344561, 4012234, 3869535, 3811964, 3397297, 3243551, 1171200, 630688, 568282, 517571, 368494, 333766, 115991, 89583, 78081, 728, 489, 451, 271, 116, 100, 72, 54]
4: [8829230283, 2174933802, 862517263, 847954190, 839243868, 654105414, 36439869, 19278140, 10016346, 8320741, 4002935, 3860618, 3803479, 3389883, 3235970, 1169223, 629827, 568138, 517437, 368101, 333679, 115509, 89378, 78292, 704, 479, 440, 267, 128, 108, 78, 60]
5: [8824132467, 2173634674, 861989096, 847430108, 838727382, 653731048, 36420494, 19267116, 10008313, 8315358, 4001008, 3858596, 3800888, 3386468, 3233043, 1167312, 628616, 567128, 516159, 367155, 332546, 115762, 89371, 78287, 652, 425, 406, 238, 95, 88, 58, 46]
6: [8843243673, 2178402794, 863908667, 849315933, 840593913, 655158573, 36501501, 19312298, 10030482, 8332003, 4008152, 3866030, 3809175, 3394852, 3241165, 1170636, 629804, 567937, 517131, 368414, 334021, 115737, 89282, 77909, 737, 485, 459, 276, 122, 108, 82, 66]
7: [8836959131, 2176869573, 863307312, 848727185, 840012645, 654723159, 36476241, 19296661, 10024441, 8328097, 4003238, 3860796, 3803117, 3389247, 3235494, 1167446, 627956, 565787, 515526, 366594, 332120, 115597, 89201, 77751, 669, 441, 416, 261, 94, 80, 59, 49]
8: [8850455065, 2180217276, 864632931, 850027079, 841294070, 655730764, 36534153, 19324129, 10039081, 8337834, 4010072, 3867050, 3809733, 3393204, 3240164, 1170346, 630879, 568548, 517485, 368476, 333922, 116382, 89834, 78503, 736, 498, 461, 278, 106, 93, 75, 61]
9: [8841794520, 2178081658, 863747568, 849162867, 840443831, 655060235, 36494539, 19304483, 10026460, 8326724, 4003504, 3861370, 3803616, 3389465, 3235840, 1170090, 629996, 568236, 517780, 368838, 334276, 116120, 89419, 78153, 705, 465, 439, 291, 128, 110, 75, 53]
10: [8876839487, 2186705998, 867219330, 852568721, 843811591, 657680641, 36640672, 19385164, 10071875, 8366707, 4025895, 3882839, 3825062, 3408341, 3254442, 1174770, 632781, 570904, 520146, 370235, 335564, 116596, 90078, 78486, 702, 475, 448, 274, 113, 95, 66, 56]
11: [8888271410, 2189492957, 868305637, 853643815, 844880410, 658515998, 36691709, 19416398, 10079146, 8372148, 4028976, 3885634, 3827670, 3410115, 3256088, 1174406, 632493, 570085, 519259, 369844, 335197, 116513, 90144, 78609, 703, 460, 433, 255, 108, 95, 67, 54]
12: [8820447037, 2172766387, 861650805, 847103109, 838402278, 653469029, 36410889, 19258675, 10001845, 8304813, 3992842, 3851030, 3793728, 3380497, 3227566, 1165975, 626897, 565262, 514827, 366239, 331940, 115280, 89256, 77885, 685, 451, 431, 266, 115, 101, 62, 52]
